DEBUG 2018-08-23 08:39:27,567 [1    ] Abp.Modules.AbpModuleManager             - Loading Abp modules...
DEBUG 2018-08-23 08:39:27,778 [1    ] Abp.Modules.AbpModuleManager             - Found 15 ABP modules in total.
DEBUG 2018-08-23 08:39:27,791 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Yaeher.Web.Startup.YaeherWebMvcModule, Yaeher.Web.Mvc, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2018-08-23 08:39:27,793 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Yaeher.YaeherWebCoreModule, Yaeher.Web.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2018-08-23 08:39:27,793 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Yaeher.YaeherApplicationModule, Yaeher.Application, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2018-08-23 08:39:27,793 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Yaeher.YaeherCoreModule, Yaeher.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2018-08-23 08:39:27,794 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.AbpZeroCoreModule, Abp.ZeroCore, Version=3.8.1.0, Culture=neutral, PublicKeyToken=null
DEBUG 2018-08-23 08:39:27,794 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.AbpZeroCommonModule, Abp.Zero.Common, Version=3.8.1.0, Culture=neutral, PublicKeyToken=null
DEBUG 2018-08-23 08:39:27,794 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AbpKernelModule, Abp, Version=3.8.1.0, Culture=neutral, PublicKeyToken=null
DEBUG 2018-08-23 08:39:27,794 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AutoMapper.AbpAutoMapperModule, Abp.AutoMapper, Version=3.8.1.0, Culture=neutral, PublicKeyToken=null
DEBUG 2018-08-23 08:39:27,795 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Yaeher.EntityFrameworkCore.YaeherEntityFrameworkModule, Yaeher.EntityFrameworkCore, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
